0 567.4063110351562 0.0 502.59563508968927, 1 440.34446878712185 -48.07314964840877 498.46245474901536, 2 504.10404734608437 -63.978474075904685 132.9191231112065, 3 465.22690850336676 51.616708419713305 -252.70157660396865, 6 694.4672958952549 48.07259635181616 506.7287711788598, 7 717.281422852794 50.936643024826445 146.50903038709498, 8 747.6730264365227 123.05598918612331 -249.54890029206842, 12 529.3760438712734 -68.19963631690338 750.6677471586939, 13 513.4233152144825 -229.55280689817863 887.3682984928995, 14 436.7386087308629 -331.707864196522 809.9554608599896, 15 427.46685583777315 -372.3019877239951 908.5021311260767, 17 655.7284237685308 -198.91464893062806 879.0888062961402, 18 811.5757664402847 -173.6139346054535 661.314291245751, 19 880.1238220077468 -260.6433283286498 322.2031167924779, 25 387.7035740932813 -210.58623912494392 843.065503071039, 26 268.7963690845082 -180.430002685619 575.8137830412767, 27 220.6785703338703 -231.80559999758606 230.17926473679518, 
0 565.9669189453125 0.0 504.2818038408351, 1 441.3718118019106 -48.14525749119426 500.4330752476774, 2 507.32837984595085 -63.646832564107925 132.58000054182867, 3 468.6701057943024 53.378378773853726 -252.70157660396865, 6 690.5611563888697 48.14471241632354 508.13049039775456, 7 718.2544808224363 51.68068284665348 144.38360565964723, 8 750.5121554118547 122.59122078294837 -251.07308294754512, 12 531.009182414925 -69.23177038898433 752.8663522816208, 13 517.0343698733733 -231.45825516323924 889.5173240693538, 14 442.0852017555244 -332.6964635215427 812.1264222894325, 15 433.6251946294835 -374.1024908878733 910.433238169683, 17 658.2182408984746 -201.6650904730849 881.0290671226461, 18 819.5845230576906 -183.4046278250368 663.3984806940701, 19 867.0976385725965 -275.45683410487953 323.09366321698405, 25 392.3344793177771 -212.2888624892785 845.418082409189, 26 270.84950477480066 -183.50951905270048 578.5401068207811, 27 224.6539480836949 -233.291895900714 230.69855042764743, 
0 565.9669189453125 0.0 501.5726279976923, 1 441.63677140557485 -47.9892333095361 496.7318972543985, 2 506.77342555431153 -67.03986362933496 132.44645631075554, 3 467.95774105264786 48.80483534465553 -253.76801337154677, 6 690.2962114973184 47.98867617852883 506.4133146421336, 7 719.2069266466892 49.94892774582433 146.55777246478232, 8 750.6699077960917 122.35443506381726 -249.84857242055875, 12 531.5575949208916 -69.61069554709863 750.8099558284653, 13 518.0419920769343 -232.0669806056767 886.951592469717, 14 442.5896792958916 -332.7239229782446 808.4418258456511, 15 433.86414599013995 -374.24563548327154 906.6525547918883, 17 659.2187380968838 -202.526269868961 879.2172392699102, 18 822.9519768510133 -184.9205153439724 663.9101370510484, 19 868.55439911467 -276.10823906274265 323.28476657033855, 25 393.57117758934 -212.51222138082147 842.3365883785767, 26 270.95443619812465 -183.83706438303932 576.6760526194599, 27 224.18787274128113 -232.15350114896864 229.14785498927438, 
0 565.9669189453125 0.0 500.248051884241, 1 441.900305501757 -47.57404416839901 495.37508909438407, 2 507.1726352037695 -66.98871165674952 132.41798516153784, 3 472.42465238826895 48.07777078741728 -253.76801337154677, 6 690.0326921051088 47.57346783994771 505.12096773096755, 7 719.0478875131005 48.25450932969629 146.30354343269238, 8 751.5996618495633 120.04183293498076 -250.04969092019587, 12 531.8164522328835 -69.37827576389014 749.1221764196072, 13 518.7755115034316 -231.5261168628092 886.066891903825, 14 443.49861794925766 -332.0256401822286 808.7175088681905, 15 434.921929749785 -372.9264210041812 907.1369997482585, 17 659.6955652857525 -202.08320961541153 877.4082003225302, 18 822.7238731511511 -185.6032224158978 661.9961634516824, 19 868.2682799332756 -277.0016914579648 322.371407241239, 25 394.50408971324623 -212.1338323326883 841.7880339711859, 26 272.8670062285767 -184.0718060368187 576.7062157226342, 27 225.1587975902126 -232.82344398090385 229.78681370506524, 
0 565.2235717773438 0.0 499.48979381176605, 1 439.7579019349642 -46.135614720195875 495.0347266982287, 2 504.7955145474024 -68.15816273996607 134.39356933256636, 3 475.0270273324003 46.8176367155404 -253.76801337154677, 6 690.6883801476208 46.13508989093277 503.94481625645324, 7 718.0237277051974 42.18583915160741 145.38100883345845, 8 755.5536918256082 114.1513729253559 -251.076918649905, 12 533.4941970753727 -70.24111336353565 748.1644107803821, 13 522.0053416273861 -233.59847446100645 884.2342998649459, 14 446.0853068819861 -334.6403143396068 806.3449539020895, 15 437.7158937521973 -375.5956259524222 904.4751115915834, 17 663.8701485537493 -205.08189796347045 875.5907835747474, 18 825.9743579348876 -189.93667233480227 660.2975537219771, 19 865.9338779311404 -282.3343258153431 319.96279674856373, 25 396.29195191639445 -213.03985030258775 840.3109261303731, 26 271.0012655691431 -184.26946873883978 575.2551399810926, 27 224.24874769570243 -233.52056968011732 227.5249947421247, 
0 564.2725219726562 0.0 499.6612106269306, 1 436.9881025702635 -44.233181345640816 495.625090727872, 2 502.67488192733884 -66.17958950547803 134.52581437358816, 3 477.31478062282065 48.74709573853305 -253.88175238521865, 6 691.5560695170243 44.2326675045534 503.6972968109503, 7 719.1447395370117 39.71470731532242 144.72011803787422, 8 758.6595457725315 114.0130908356952 -252.06597362156845, 12 534.616248165527 -70.56935252073926 748.7167364575362, 13 522.3128369723756 -234.97477677496755 883.4291965883834, 14 444.0845675243961 -336.04706682086555 804.8278290131051, 15 435.6900564343839 -377.44829745591244 902.6688646239096, 17 666.0094454829434 -208.56600237683537 874.910301620809, 18 832.2214180258039 -194.6120786960525 659.6773862441338, 19 869.1236951985223 -283.6404174400172 311.11899750013094, 25 395.30027598708705 -211.42422551517427 839.8585391933669, 26 265.63414462284584 -178.36616196909722 575.139491490608, 27 208.74415135978643 -224.2950513470209 226.5715989355366, 
0 564.253662109375 0.0 499.80156465178516, 1 436.8835406691925 -42.81651598367883 495.7456923823851, 2 499.9391669337503 -68.67171112069447 136.08076487596105, 3 481.39983331547126 42.19703690915729 -254.74231757076552, 6 691.6229112021335 42.816014644145525 503.8574004297857, 7 718.2329055121569 40.6142014793039 147.64950555942755, 8 761.6982837807927 119.70544737334356 -243.37251963666483, 12 537.9208191480125 -70.59240508795145 747.5061277959709, 13 526.9911653893981 -235.43872136504808 884.183316822472, 14 448.2358117612031 -336.6247164354021 808.82521903841, 15 439.32644365384067 -377.09311001111075 907.1397532421157, 17 670.492910048588 -209.5367014438329 874.9214917882629, 18 834.6112159740092 -197.3737878486944 659.3066090183041, 19 866.6468764261392 -284.31045679738463 313.96141720821265, 25 399.50706241489047 -211.32675009196444 840.4771361465181, 26 268.06550126474474 -177.3849891272732 576.4799572880763, 27 210.40500108416194 -223.91166187478763 233.55160023493295, 
0 564.253662109375 0.0 497.8043251932893, 1 436.5756442522016 -42.36105529260872 493.68986570138725, 2 500.7352848903293 -70.69862359156254 135.34265926902475, 3 481.58184429323467 39.78262716926827 -256.2272724047499, 6 691.9308058608899 42.360560902852555 501.91874987659514, 7 718.2678520947786 38.51650687623942 146.80959326447783, 8 762.2077224761271 117.71305425702303 -244.7646940272923, 12 538.1626037913218 -71.79925649604465 745.5690624139382, 13 527.406624299718 -237.4107857376403 880.1759493914855, 14 448.13219782203174 -338.4798490659804 803.2450492680294, 15 439.68193113778943 -379.48119754537004 901.1385011835035, 17 670.9322246850423 -212.29089371692044 871.2168209369585, 18 833.5297913966876 -200.58825557876145 655.3849348074708, 19 865.1769606438977 -286.46268713523165 299.29114955658395, 25 399.77597890835375 -212.4208079253994 836.6423423800092, 26 267.58207124124976 -178.74217880601796 572.6064845586784, 27 209.2828773567516 -224.25649031257745 227.88434378387535, 
0 564.2725219726562 0.0 489.6868738646875, 1 436.05605826154846 -41.677954957692585 487.1168210105967, 2 499.5397070276336 -82.46019204618308 137.9056105337629, 3 478.67192334018927 25.79454726220783 -254.48621636821122, 6 692.4881217023924 41.67747747073291 492.25689764631943, 7 718.6614506379061 29.964505652031335 146.12232890509745, 8 763.6004079596078 109.18991642925275 -243.6051019290402, 12 539.4459592307527 -71.4269545502838 737.2750679490682, 13 527.7873946578825 -236.16808470305006 873.9588232418192, 14 446.8941822483689 -336.48315989377664 794.8595235108556, 15 437.98033236357134 -376.26176647820876 893.428313193302, 17 671.5766651091913 -212.62142373507288 864.2633343210795, 18 833.5560234879579 -205.48778635885157 650.4134928640648, 19 861.8825084657284 -293.4219362033978 293.54977406745274, 25 400.25724214607516 -210.53618119486418 831.8014258072916, 26 267.1899308713552 -178.48232601054184 568.3375826501729, 27 210.35724966777474 -225.15933570796943 220.92971709011022, 
0 565.2235717773438 0.0 489.3911127562891, 1 437.1048081253334 -41.02477754190301 486.83493540191523, 2 499.9167538528782 -79.7668104434534 137.20134458683646, 3 478.98236789743873 28.560588694889802 -254.52860750262312, 6 693.3414720058961 41.02429950849703 491.94726578422956, 7 720.9498035536327 27.896331665054014 144.87888707101683, 8 777.8425736210363 105.86645404119244 -242.98316913398037, 12 541.9955754614181 -71.22252437601071 736.516349761888, 13 531.1399617242115 -235.478334267403 874.1827107996422, 14 449.6530727218008 -335.38747065041025 796.5405530998574, 15 440.18837801374445 -374.7296080067851 895.0485835155886, 17 674.6435360169623 -212.2611124167241 864.3294050265446, 18 834.2156090664057 -206.3276831829691 649.958119551988, 19 861.9822012974973 -294.94296549586113 292.4584418967398, 25 403.61714324215103 -209.80238593725565 831.7226197843262, 26 269.5970030067362 -177.81919428207982 568.6288046632219, 27 212.0093759189989 -224.6780909558252 222.23709119818068, 
